Date,Category of Accident,Type of accident,Type of Train 1,Type of Train 2,Type of Train 3,Death,Injuries,Location of accident state,Cause & Location of accident place
2 January 2010,non-technical,Derail due to Fog or Rain,Express,Express,,,,Uttar Pradesh,"The 2010 Uttar Pradesh train accidents were a series of three accidents that took place in Uttar Pradesh due to dense fog conditions.The Lichchavi Express collided with the stationary Magadh Express in a station near Etawah, about 270 km (170 mi) southwest of Lucknow."
2 January 2010,non-technical,Derail due to Fog or Rain,Express,Express,,10,51,Uttar Pradesh,"The Gorakhdham Express and Prayagraj Express collided near Panki station in Kanpur, about 97 km (60 mi) southwest of Lucknow, killing 10 and injuring 51."
2 January 2010,non-technical,Derail due to Fog or Rain,Express,,,0,0,Uttar Pradesh,The Saryu Express hit a tractor trolley at an unmanned railway crossing in Pratapgarh. There were no injuries.
3 January 2010,technical,Derailment,Express,,,0,0,Arunachal Pradesh,Arunachal Pradesh Express derailed near Helem. No injuries were reported.[107]
16 January 2010,technical,Collision,Express,,,,,Uttar Pradesh,"KalindiShram Shakti collision, near Tundla."
17 January 2010,technical,Collision on an obstacle,Express,,,,,Uttar Pradesh,Hariharcar collision at Barha railway crossing under Haidergarh police station area in Barabanki district.
22 January 2010,technical,Derailment,Freight Train,,,,,Uttar Pradesh,Goods train derailment near Azamgarh.
25 May 2010,technical,Derailment,Express,,,0,11,Bihar,"A Rajdhani Express train derailed in Naugachia, Bihar,[108] injuring 11.[109] The train derailed as the driver applied emergency brakes after hearing a loud explosion."
28 May 2010,non-technical,Serial Blast,Express,Superfast Express,,140,200,West Bengal,"The Jnaneswari Express train derailment occurred when the HowrahLokmanya Tilak Terminus Jnaneswari Super Deluxe Express was derailed by an explosion and then struck by an oncoming freight train between Khemashuli and Sardiha stations, killing at least 140 and injuring about 200. Maoists were suspected in the attack.[110]"
4 June 2010,non-technical,Collision on an obstacle,Passenger,,,5,0,Tamil Nadu,"The CoimbatoreMettupalayam special train collided with a mini-bus at an unmanned level-crossing at Idigarai near Coimbatore, killing 5.[111]"
18 June 2010,non-technical,Collision,Express,,,0,27,Karnataka,"The 8084 (Vasco-da GamaHowrah) Amaravati Express derailed after colliding with a road-roller at an unmanned level crossing near Koppal, Karnataka, injuring 27.[112]"
19 July 2010,technical,Collision,Express,Express,,66,120,West Bengal,The Sainthia train collision occurred when the Uttar Banga Express collided with the Vananchal Express at Sainthia railway station killing 66.[113][114]
8 August 2010,technical,Collision on an obstacle,Express,,,4,0,Kerala,"Four people, including two foreigners, killed when the Chennai-Alappuzha superfast express collided with a car in an unmanned railway gate near Mararikulam on ErnakulamAlappuzha coastal line."
17 August 2010,technical,Collision,Express,,,4,,Uttar Pradesh,A crash at Goryamau railway station of Barabanki district kills four people.
1 January 2011,non-technical,Collision on an obstacle,Express,,,,,Uttar Pradesh,Akaltakthtrucks collision at Babura railway crossing in Jaunpur district.
3 January 2011,technical,Derailment,Freight Train,,,0,0,Uttar Pradesh,Goods train derailment at Dadri area of Ghaziabad district.
7 July 2011,non-technical,Collision on an obstacle,Express,,,38,30,Uttar Pradesh,"A MathuraChhapra Express hit a bus at an unmanned level crossing in Thanagaon, Kanshiram Nagar district, Uttar Pradesh, killing 38 and injuring 30.[116]"
10 July 2011,technical,Derailment,Mail,,,70,300,Uttar Pradesh,"The Fatehpur derailment occurred when the Kalka Mail derailed near Fatehpur, Uttar Pradesh, killing 70 people and injuring more than 300.[117][118]"
10 July 2011,technical,Serial Blast,Express,,,0,100,Assam,"The GuwahatiPuri Express derailed in Nalbari district, Assam, with the engine and four coaches rolling over in a rivulet, injuring more than 100. The derailment was determined to have been the result of a bomb attack by local militants.[119]"
23 July 2011,non-technical,Derailment,Freight Train,,,0,0,Assam,"A second freight train had eight cars derail at almost the same place as the previous incident, less than 24 hours earlier."
